"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","explicit","track_name","track_number","album_name","key_mode","popularity"
"One Direction","2014-11-17",2014,0.565,0.862,4,-3.715,0.0326,0.0014,0,0.105,0.647,122.994,4,229040,FALSE,"Where Do Broken Hearts Go",3,"FOUR (Deluxe)","E major",67
"One Direction","2014-11-17",2014,0.395,0.906,0,-4.683,0.0866,0.0183,0,0.382,0.196,147.864,4,231706,FALSE,"Clouds",12,"FOUR (Deluxe)","C major",61
"Liam Payne","2019-12-06",2019,0.625,0.684,1,-7.147,0.0687,0.342,6.37e-05,0.107,0.217,119.932,4,188233,FALSE,"Bedroom Floor",17,"LP1","C# major",54
"Liam Payne","2019-12-06",2019,0.651,0.893,7,-4.466,0.0397,0.249,0,0.0796,0.473,113.967,4,188368,FALSE,"Polaroid (With Jonas Blue & Lennon Stella)",15,"LP1","G minor",39
"Harry Styles","2019-12-13",2019,0.566,0.846,7,-6.904,0.035,0.000564,0.000795,0.121,0.86,160.02,4,221826,FALSE,"Sunflower, Vol. 6",9,"Fine Line","G minor",73
"One Direction","2012-11-12",2012,0.373,0.575,2,-6.862,0.0915,0.302,0,0.125,0.5,72.595,4,182040,FALSE,"Over Again",10,"Take Me Home (Expanded Edition)","D major",66
"ZAYN","2016-03-25",2016,0.52,0.513,7,-7.208,0.0256,0.281,0,0.0976,0.17,77.903,4,202213,FALSE,"fOoL fOr YoU",10,"Mind Of Mine (Deluxe Edition)","G major",67
"ZAYN","2016-03-25",2016,0.719,0.614,9,-5.354,0.0327,0.611,1.4e-05,0.108,0.69,95.988,4,201293,FALSE,"rEaR vIeW",8,"Mind Of Mine (Deluxe Edition)","A minor",54
"One Direction","2012-11-12",2012,0.514,0.727,0,-6.131,0.0492,0.126,0,0.0978,0.37,147.917,4,200400,FALSE,"They Don't Know About Us",12,"Take Me Home (Expanded Edition)","C major",76
"One Direction","2012-05-25",2012,0.561,0.898,7,-4.722,0.056,0.000165,1.86e-05,0.327,0.638,133.965,4,198053,FALSE,"Tell Me a Lie",7,"Up All Night","G major",58
"One Direction","2015-11-13",2015,0.537,0.705,4,-6.073,0.0337,0.0687,0,0.0842,0.32,131.965,4,249480,FALSE,"Infinity",4,"Made In The A.M. (Deluxe Edition)","E major",67
"One Direction","2013-11-25",2013,0.515,0.714,0,-4.516,0.0348,0.286,0,0.118,0.495,155.954,4,188546,FALSE,"Half a Heart",18,"Midnight Memories (Deluxe)","C major",67
"Liam Payne","2019-12-06",2019,0.726,0.926,1,-3.523,0.0534,0.0269,3.86e-06,0.0519,0.545,108,4,203980,FALSE,"Get Low (With Zedd)",16,"LP1","C# major",41
